,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,iqa
10,2.7215100583069747,2.7522944670610516,1.8820180371320914,2.1198019122770964,2.309000441763312,-2.0903067187902704,2.05805230305914,0.5035220797378538,-2.0620979313126484,4.860257299532614,1.6096482478716974,-0.4099592296510144,4.461298397840272,1.5728370724999197,1.4585011820993938,4.4262113935919585,1.5596413703491527,2.4585474404210164,7.050744428408788,1.577808964190914,2.3320946484146137,5.646103842575269,1.6111215476240894,-0.8287880244423321,7.225094455909308,1.6482974932645078,-0.15310309365045968,7.64249472642893,1.3586351505029788,2.1540773877711397,8.40150281425723,1.5098282739196198,2.528473106176357,7.9018840845622265,1.8080616627906358,2.218865286441316,7.531482073632151,1.83190827428614,0.057575978684438645,8.758746858427793,1.6873235857138134,-0.29872341688191206,7.819324322738252,1.4197393933105091,-0.029154576643729866,3.9070008792759836,1.4759289854137447,0.4513615712279053,4.509849905641071,1.5250210403776745,2.884532950574689,-38.077667851
11,2.7419326975615768,2.8795166500634366,1.8694160728618667,2.1178519077796873,2.600844294916313,-2.167592347081914,2.0547250331159717,0.7107821646941379,-2.1752587080403196,4.857622513417133,1.54361173512892,-0.43636189512763035,4.600295963977647,1.674384436951262,1.4311218654206783,4.509981348623633,1.5018092443325677,2.431175066531952,7.1565924325605765,1.566894041114633,2.3502865189029456,5.674122576040456,1.5641792270171897,-0.827473381248151,7.312642885397153,1.5581430791944122,-0.1771029814333783,8.333209265596528,1.4803475636282546,2.5618912116787387,7.9820467901566206,1.8337764661593456,2.346674228958156,8.037044753110129,1.4336106818961531,2.1530225958539706,9.02596225358436,1.5851764044368641,-0.3547768228394501,7.830255269308299,1.3229078949719428,-0.07670082485891024,7.742319784013558,1.729085419759864,0.025761175659272082,4.038611332733399,1.5676070151730863,0.4330235332560098,4.447239080365102,1.4976582975845911,2.8457685034887965,-38.075402984
12,2.768377196665119,2.9428139043265715,2.02833217654868,2.065170669690855,2.75699057575836,-2.162051621344977,2.0742221500648754,0.7513689694786589,-2.1670913203683977,4.898819685239991,1.6040928428380714,-0.4329869680856012,4.578774045013286,1.4447332657459337,1.6223544815547473,4.658889738407526,1.686040518910975,2.535441379599055,7.225944562637116,1.6666697508946335,2.410062968600917,5.916832107886956,1.7336652836867272,-0.8097462342825029,7.1699200421501965,1.4879337096050755,-0.18636980883663476,7.85263727767049,1.7645729361522275,2.1569300935066797,8.213535454567126,1.4282240481694919,2.40321038799978,8.606744133640705,1.756803967328965,2.5944875650276353,7.852969935239926,1.6875959930768145,-0.02659345167214563,8.799165132095323,1.51148052196901,-0.3376667077932254,7.42159860023954,1.2420771736601188,-0.07093912660555032,3.955945212222986,1.4734962367902784,0.42844123803868894,4.6787764384365955,1.7459278244357488,2.943394266450331,-38.073769997
13,2.7908868611647426,2.9664565340320492,1.9100707770211212,2.0495959442201324,2.4447233775775015,-2.2726265796952836,2.0231598874179215,0.5155167997106356,-2.073621012732967,4.8401050978274105,1.622300242690913,-0.41544328591409985,4.554588879814155,1.6366407962991634,1.4588006452873612,4.726259817517141,1.5361539061083327,2.425481267593126,7.432609237211687,1.4532536912445664,2.277438720931451,5.542611179913226,1.6203789951550143,-0.8486519836960016,7.333467843806653,1.6195469339088209,-0.18534079825406058,8.165249427262296,1.2111091765100919,2.2115954265203044,8.842765172489903,1.5204499783291139,2.449857884151333,8.285996759632159,1.5894103321902886,2.0827890199090526,7.609112887271281,1.739656691942536,0.041186481171585014,8.635226505644697,1.765616969522374,-0.3498055300031126,8.440859376860082,1.3972107517738892,-0.14984384669330963,3.9420764976635043,1.5991618934483527,0.45639437944562433,4.866507456611926,1.5512880138040648,2.8361859308118444,-38.073015075
14,2.7954159737174824,2.9160702988329525,1.9028649396645654,2.0906580824561978,2.6557645841430424,-2.3329245168778714,1.998766636225862,0.6998626020034042,-2.2184372205072473,4.844958911630273,1.5807032567702133,-0.4527854057944022,4.605875115717178,1.6700249143718446,1.4642368752425514,4.623502198752051,1.4583836044287513,2.416852405149914,7.169117088380237,1.386176099925979,2.278225406218725,5.557396343424845,1.602879469928704,-0.86382290977293,7.1726269634419255,1.5568054680006047,-0.17172248470161455,7.944986897237422,1.5567900873453722,2.0812563432301854,7.932919244702134,1.1449243850997124,2.2237773768523974,8.46269680880779,1.4593175645010783,2.476934348587181,7.4763815751243285,1.3144821118505763,-0.005284619004082059,7.747613005715686,1.7541639162056397,0.02839573692981746,8.950800248533094,1.5625797933714243,-0.3213304287175983,3.92942363654407,1.5321565383380766,0.47088261683462745,4.781578087144308,1.3999111934015214,2.8219758291703645,-38.074719509
15,2.848961295838679,3.0122264210177803,1.8659044905172566,2.0972503754385747,2.5760307627845442,-2.342584088788306,2.159018515834019,0.6984536345771829,-2.1562655001311417,4.929837700539704,1.4116954809796174,-0.4024469699141872,4.74879605034815,1.4598122264396334,1.4647287405215257,4.574455954896984,1.6677350528564059,2.4018051654254995,7.343092052538506,1.6991174547021854,2.2927699742544876,5.848510659631727,1.4949481914415998,-0.7908498419545877,7.42423447769267,1.3429421262953027,-0.1562830505096629,7.902966859814422,1.7940855450894932,2.032129773932387,8.324268494921798,1.4709107406818813,2.295342939517537,8.389154978472908,1.8705583818849252,2.45894273353916,7.794561605539648,1.5644873089361244,0.011353064953358732,9.11652950008832,1.3685939761943189,-0.29335486651396897,8.036220075643334,1.1216413016368492,-0.017908906751690754,3.9120462144565997,1.5222197881924264,0.4721064265733424,4.472505905269636,1.7161642714267842,2.831452109882617,-38.078391578
16,2.801084117795295,2.8385743376074446,2.0509768414512757,2.144722601297933,2.5384902534673928,-2.0973064413703257,2.07284350622556,0.5688354459118976,-2.2297144353916014,4.911185880874423,1.5937052982028521,-0.46030583439782435,4.616142585042904,1.6906004567681334,1.6247470861852542,4.431713975943689,1.4713762786025786,2.5903758612603167,7.054066158270414,1.4726366663115762,2.4605959450159958,5.696763623711231,1.5774816736685158,-0.8731086675212936,7.353022454781806,1.6274750216924854,-0.19279521517518813,7.941906729240931,1.691395223728262,2.332867032005351,7.835405911136701,1.2834481419191905,2.2694407798019225,8.2596960890251,1.4596206421873736,2.6830778406787887,7.923897230212376,1.8893313063253998,-0.1120542658439047,8.886137060523774,1.5537167274509667,-0.34469514658278105,7.946929510993281,1.4789551725860384,0.022127173277000856,4.1122177315805635,1.6684622042372916,0.4120571909935358,4.582428437275827,1.3968023081874559,3.0046880805978113,-38.076744624
17,2.8077546782422385,2.8634495735549215,1.9441153320063689,2.0693536557492997,2.462138259383645,-2.1431496983863862,2.022439608085134,0.7381794241708516,-2.2399030026042994,4.971922602572713,1.6865767062169845,-0.3950841732970841,4.687854099096213,1.6019190595317434,1.5375903208188306,4.450206748413959,1.5152546669918614,2.510498702068966,7.130211668427785,1.474606608304811,2.35080758786636,5.927034659743874,1.7352255881120684,-0.7794222851772716,7.4489473445341,1.59144653392316,-0.14087994431308015,7.764205148633277,1.206009372597116,2.3123439105055072,8.556051596391951,1.5772937781484728,2.517114708447319,7.874643894184722,1.6337106447548593,2.1391178786554557,8.022687799599906,1.782084736674912,0.028544134361847932,9.299327700399644,1.5653397463244145,-0.28898835391331534,7.6189096496138395,1.3608522892714372,-0.0048879879145647676,3.8494616531358794,1.5194859273804115,0.49266483789540616,4.506435423058121,1.5401588009977785,2.9288923764441797,-38.073416284
18,2.7510246015709274,2.865265422016365,1.8472842033266867,2.122973378929456,2.552130509696679,-2.2654292789964408,2.209354936758949,0.5615630876935996,-2.2347384958774397,4.838110424848501,1.755066065382053,-0.479705341118119,4.60944026723146,1.516871055484431,1.445684784068751,4.542861922484473,1.6533987578027103,2.403686481586852,7.272835351988553,1.6542815730244194,2.291437580500631,5.771616523915533,1.7214192020114443,-0.8965497875276219,7.322868231319014,1.821867761850372,-0.21481726119970526,8.389640021612085,1.6441237832925655,2.51144914468817,8.106887447258519,1.8737661618507584,2.1712420740763676,8.189343559927119,1.4473417619253064,2.151220775064917,8.586231412361398,1.60395809024742,-0.15888746502444565,7.521554897066498,1.979983504766767,0.0336153686730843,8.767380685084023,1.8951995542974813,-0.38279696213568504,3.889857458472355,1.5776231211812621,0.47671817704191466,4.573907897588778,1.6740906317724438,2.804423410057988,-38.080468254
19,2.8507174842789027,2.9402377533567985,1.8935963073437398,1.9505534928981914,2.4456747030045265,-2.1373430337640147,2.1332028505956337,0.6436828958222778,-2.1136782774399974,4.960252497491963,1.7237761050041314,-0.4020644337166707,4.551355858660154,1.631896644532992,1.4776432542606668,4.66431573604777,1.3986766283129977,2.4037902587717097,7.107304195799829,1.2502546562945063,2.2446358833322306,5.703395088618145,1.7582614205198908,-0.8283370644770341,7.29783485305733,1.6886762354714975,-0.14650281086367115,8.21344066567378,1.440304214103217,2.111248693032302,7.178267928999018,1.0128366717043378,2.0548432477815166,8.413266819693643,1.2050444150855846,2.451765677508103,7.673958649664676,1.4589330938469074,-0.012545808539693067,7.800308330577281,1.8739083044114486,0.05025813709042809,8.779017820129077,1.7578798018346975,-0.29740601243979337,3.9932672120247483,1.4707188430946732,0.44792881361824777,4.786055545534462,1.352354060335417,2.819899899532474,-38.075726657
20,2.868400712265303,2.777979033026988,1.8794023613279485,2.0850676648423803,2.5921787500173705,-2.002825391642072,2.1464402424291316,0.6945868821846128,-2.0146326895477675,5.0812525257673755,1.4179985273092404,-0.3384172199034023,4.497329820601062,1.7761240397555271,1.4823622485796826,4.5279711070704804,1.2867271535984792,2.3226422289036868,7.118059515960079,1.2868553026446032,2.1664602163658544,6.03707519432316,1.216501114228066,-0.6803762975890993,7.502840534529738,1.5790367646621049,-0.13442109440892658,8.192887290724821,1.5208733616045569,2.1724087782642427,7.91642113983361,1.154414855264746,1.937535095101147,8.208897854253753,1.2152829642445502,2.397238860810569,7.962087384491099,1.834713664046708,-0.061082301541106304,9.019091264222117,1.5774715665142907,-0.30477230494723256,8.344570745997732,1.422472895758808,0.040479982967186655,3.733396325087639,1.746175492881965,0.49475648615897644,4.500776226632177,0.9931695972335599,2.6607807990241983,-38.084876148
21,2.8997624173403427,2.930304776374462,1.899472467429189,2.132539814065805,2.4273389759448785,-2.2046164146188603,2.0878001764922267,0.5026126653708698,-2.2067535442423427,5.057495672678544,1.3843576759441905,-0.3666543782654366,4.608239647423594,1.553150488013091,1.487928639798611,4.542116246032472,1.5538341574912975,2.46516007468963,7.221412279821857,1.499692321369907,2.3396609369591874,5.935372554195248,1.2861851351183886,-0.7623438183107749,7.506105397483181,1.4411131600923106,-0.11788374628702145,7.861868910509863,1.2707936843128618,2.2075772293198197,8.6130802105017,1.4835678314052914,2.5280650278514964,8.058740104981934,1.6878355520267199,2.1881035583742916,8.758606603645262,1.5866076484126341,-0.2532156206398818,8.539713129004463,1.2291774524481425,-0.08220132361503493,7.720194792075396,1.5822143980913055,0.11301368828411534,3.9780750280941475,1.7979604123467372,0.3842347717851457,4.558029205943617,1.6260639701699475,2.862846795758361,-38.083097102
22,2.7977610668570505,2.871200522053714,1.8292570024299288,1.9923396064536338,2.605500700131199,-2.277026096862777,2.085662738082404,0.7181737690571947,-2.313812598534596,4.86633390876507,1.695081303654457,-0.3857243683205499,4.6027514221831,1.502568858798696,1.4234635735217893,4.334237955771044,1.7448063190134273,2.406895329316322,7.08065248822701,1.6536941620250716,2.340723558457939,5.8397166590654495,1.7288156002612276,-0.7891999379868129,7.161410052075229,1.6716471112365108,-0.10688875870889394,8.192868766067846,1.6957458859685064,2.5775169233352293,8.195569872656467,1.8116142359014595,2.1527783000715903,7.740020162868543,1.400934032507916,2.2608739476376933,8.215615785963248,1.8937003627837072,-0.04994222234596605,8.704473410646676,1.5506076191396572,-0.23382403061817295,7.21176559995244,1.5417880878517503,0.16471894615013769,3.948638696235616,1.4276905533828324,0.45063213575471156,4.339623046437519,1.7455414086224033,2.8490106467909277,-38.072986962
23,2.771547994544852,2.8918916706049727,1.9056140162631052,2.0598448177284023,2.5350514946949447,-2.2648677103998436,2.0744588496557905,0.6202444314506468,-2.133847454286796,4.98331098280518,1.2949209037964537,-0.306898577557587,4.534095702121009,1.4195009578484925,1.4789064706935184,4.588800590419374,1.749874688973446,2.397448698170396,7.278622816384877,1.7873627534198822,2.281872991675064,5.955482000463893,1.1855965542717033,-0.7033433853895674,7.141417290567379,1.3019259391933988,-0.004073130941199155,8.219929384888957,1.934502424439615,2.467420822735074,7.858463976844538,1.8918775724955967,2.0388419522810355,8.386224500805048,1.5664790937143105,2.2902717640471595,7.824224976561743,1.0753018140705095,0.16681212742398252,7.4356556845606185,1.5293732988543964,0.15237945552421864,8.74163142077412,1.3228586288997295,-0.17780596313447583,3.778644304974988,1.6983011699590882,0.47040921705870764,4.779076271755185,1.8267722929546217,2.8190218400341505,-38.075048191
24,2.8981530126321693,2.974102342190751,1.9044721352472753,2.030562382147016,2.4729374810622575,-2.295338398045288,2.164351105279406,0.5355391836217908,-2.1137354880382344,4.919433685230112,1.7368266980315725,-0.45504136471074946,4.695127142274335,1.5456384883293104,1.493933888875624,4.630502315927548,1.6520176921341236,2.441738179875968,7.222598513291287,1.7050173136221034,2.30055251101257,5.580309091126952,1.769792580764801,-0.8758636158114402,7.41041034576667,1.7264893761926945,-0.19953707482799452,7.5905925633024065,1.951650980544124,2.182131617722431,8.037103403876866,1.5259509885038058,2.1200811425080186,8.666918975104695,1.6946397446144497,2.4905942798639615,8.967122425014765,1.7902192659404168,-0.36370603010805247,8.11089406966895,1.4870349927149,-0.13387593048457735,7.735602142978348,1.873308482859803,0.017946057832941745,4.282011817761079,1.5041994232450542,0.3661740346460739,4.723859109651448,1.6511142368157925,2.8483597124684423,-38.078438517
